,power_power_plant,total_modules,modules_amount,tables_display,comprimento_mesa,largura_mesa,tables_amount,cobre_nu,haste,elcectodes_connector,foundation_connector,splitbolt
0,0.0,0,[0.0],[1],-7.0,6797.0,1.0,21.58,4.0,4.0,4.0,4.0
1,1.62,3,[3.0],[1],1134.0,6797.0,1.0,23.862,4.0,4.0,4.0,4.0
2,3.24,6,[6.0],[1],2275.0,6797.0,1.0,26.144,4.0,4.0,4.0,4.0
3,4.86,9,[9.0],[1],3416.0,6797.0,1.0,28.426,4.0,4.0,4.0,4.0
4,6.48,12,[12.0],[1],4557.0,6797.0,1.0,30.708,4.0,4.0,4.0,4.0
5,8.1,15,[15.0],[1],5698.0,6797.0,1.0,32.99,4.0,4.0,4.0,4.0
6,9.72,18,[18.0],[1],6839.0,6797.0,1.0,35.272,4.0,4.0,4.0,4.0
7,11.34,21,[21.0],[1],7980.0,6797.0,1.0,37.554,4.0,4.0,4.0,4.0
8,12.96,24,[24.0],[1],9121.0,6797.0,1.0,39.836,4.0,4.0,4.0,4.0
9,14.58,27,[27.0],[1],10262.0,6797.0,1.0,42.118,4.0,4.0,4.0,4.0
10,16.2,30,[30.0],[1],11403.0,6797.0,1.0,44.4,4.0,4.0,4.0,4.0
11,17.82,33,[33.0],[1],12544.0,6797.0,1.0,46.682,4.0,4.0,4.0,4.0
12,19.44,36,[36.0],[1],13685.0,6797.0,1.0,48.964,4.0,4.0,4.0,4.0
13,21.06,39,[39.0],[1],14826.0,6797.0,1.0,51.246,4.0,4.0,4.0,4.0
14,22.68,42,[42.0],[1],15967.0,6797.0,1.0,53.528,4.0,4.0,4.0,4.0
15,24.3,45,[45.0],[1],17108.0,6797.0,1.0,55.81,4.0,4.0,4.0,4.0
16,25.92,48,[48.0],[1],18249.0,6797.0,1.0,58.092,6.0,6.0,6.0,6.0
17,27.54,51,[51.0],[1],19390.0,6797.0,1.0,60.374,6.0,6.0,6.0,6.0
18,29.16,54,[54.0],[1],20531.0,6797.0,1.0,62.656,6.0,6.0,6.0,6.0
19,30.78,57,[57.0],[1],21672.0,6797.0,1.0,64.938,6.0,6.0,6.0,6.0
20,32.4,60,[60.0],[1],22813.0,6797.0,1.0,67.22,6.0,6.0,6.0,6.0
21,34.02,63,[63.0],[1],23954.0,6797.0,1.0,69.502,6.0,6.0,6.0,6.0
22,35.64,66,[66.0],[1],25095.0,6797.0,1.0,71.784,6.0,6.0,6.0,6.0
23,37.26,69,"[33, 36]","[1.0, 1.0]",13685.0,18594.0,2.0,72.558,6.0,6.0,6.0,6.0
24,38.88,72,[36.0],[2],13685.0,18594.0,2.0,72.558,6.0,6.0,6.0,6.0
25,40.5,75,"[36, 39]","[1.0, 1.0]",14826.0,18594.0,2.0,74.84,6.0,6.0,6.0,6.0
26,42.12,78,[39.0],[2],14826.0,18594.0,2.0,74.84,6.0,6.0,6.0,6.0
27,43.74,81,"[39, 42]","[1.0, 1.0]",15967.0,18594.0,2.0,77.122,6.0,6.0,6.0,6.0
28,45.36,84,[42.0],[2],15967.0,18594.0,2.0,77.122,6.0,6.0,6.0,6.0
29,46.98,87,"[42, 45]","[1.0, 1.0]",17108.0,18594.0,2.0,79.404,6.0,6.0,6.0,6.0
30,48.6,90,[45.0],[2],17108.0,18594.0,2.0,79.404,6.0,6.0,6.0,6.0
31,50.22,93,"[45, 48]","[1.0, 1.0]",18249.0,18594.0,2.0,81.686,8.0,8.0,8.0,8.0
32,51.84,96,[48.0],[2],18249.0,18594.0,2.0,81.686,8.0,8.0,8.0,8.0
33,53.46,99,"[48, 51]","[1.0, 1.0]",19390.0,18594.0,2.0,83.968,8.0,8.0,8.0,8.0
34,55.08,102,[51.0],[2],19390.0,18594.0,2.0,83.968,8.0,8.0,8.0,8.0
35,56.7,105,"[51, 54]","[1.0, 1.0]",20531.0,18594.0,2.0,86.25,8.0,8.0,8.0,8.0
36,58.32,108,[54.0],[2],20531.0,18594.0,2.0,86.25,8.0,8.0,8.0,8.0
37,59.94,111,"[54, 57]","[1.0, 1.0]",21672.0,18594.0,2.0,88.532,8.0,8.0,8.0,8.0
38,61.56,114,[57.0],[2],21672.0,18594.0,2.0,88.532,8.0,8.0,8.0,8.0
39,63.18,117,"[57, 60]","[1.0, 1.0]",22813.0,18594.0,2.0,90.814,8.0,8.0,8.0,8.0
40,64.8,120,[60.0],[2],22813.0,18594.0,2.0,90.814,8.0,8.0,8.0,8.0
41,66.42,123,"[60, 63]","[1.0, 1.0]",23954.0,18594.0,2.0,93.096,8.0,8.0,8.0,8.0
42,68.04,126,[63.0],[2],23954.0,18594.0,2.0,93.096,8.0,8.0,8.0,8.0
43,69.66,129,"[63, 66]","[1.0, 1.0]",25095.0,18594.0,2.0,95.378,8.0,8.0,8.0,8.0
44,71.28,132,[66.0],[2],25095.0,18594.0,2.0,95.378,8.0,8.0,8.0,8.0
45,72.9,135,"[66, 69]","[1.0, 1.0]",26236.0,18594.0,2.0,97.66,8.0,8.0,8.0,8.0
46,74.52,138,[69.0],[2],26236.0,18594.0,2.0,97.66,8.0,8.0,8.0,8.0
47,76.14,141,"[69, 72]","[1.0, 1.0]",27377.0,18594.0,2.0,99.942,8.0,8.0,8.0,8.0
48,77.76,144,[72.0],[2],27377.0,18594.0,2.0,99.942,8.0,8.0,8.0,8.0
49,79.38,147,"[72, 75]","[1.0, 1.0]",28518.0,18594.0,2.0,102.224,8.0,8.0,8.0,8.0
50,81.0,150,[75.0],[2],28518.0,18594.0,2.0,102.224,8.0,8.0,8.0,8.0
51,82.62,153,"[75, 78]","[1.0, 1.0]",29659.0,18594.0,2.0,104.506,8.0,8.0,8.0,8.0
52,84.24,156,[78.0],[2],29659.0,18594.0,2.0,104.506,8.0,8.0,8.0,8.0
53,85.86,159,"[78, 81]","[1.0, 1.0]",30800.0,18594.0,2.0,106.788,8.0,8.0,8.0,8.0
54,87.48,162,[81.0],[2],30800.0,18594.0,2.0,106.788,8.0,8.0,8.0,8.0
55,89.1,165,"[81, 84]","[1.0, 1.0]",31941.0,18594.0,2.0,109.07,8.0,8.0,8.0,8.0
56,90.72,168,[84.0],[2],31941.0,18594.0,2.0,109.07,8.0,8.0,8.0,8.0
57,92.34,171,"[84, 87]","[1.0, 1.0]",33082.0,18594.0,2.0,111.352,8.0,8.0,8.0,8.0
58,93.96,174,[87.0],[2],33082.0,18594.0,2.0,111.352,8.0,8.0,8.0,8.0
59,95.58,177,"[87, 90]","[1.0, 1.0]",34223.0,18594.0,2.0,113.634,8.0,8.0,8.0,8.0
60,97.2,180,[90.0],[2],34223.0,18594.0,2.0,113.634,8.0,8.0,8.0,8.0
61,98.82,183,"[90, 93]","[1.0, 1.0]",35364.0,18594.0,2.0,115.916,8.0,8.0,8.0,8.0
62,100.44,186,[93.0],[2],35364.0,18594.0,2.0,115.916,8.0,8.0,8.0,8.0
63,102.06,189,"[93, 96]","[1.0, 1.0]",36505.0,18594.0,2.0,118.198,8.0,8.0,8.0,8.0
64,103.68,192,[96.0],[2],36505.0,18594.0,2.0,118.198,8.0,8.0,8.0,8.0
65,105.3,195,"[96, 99]","[1.0, 1.0]",37646.0,18594.0,2.0,120.48,8.0,8.0,8.0,8.0
66,106.92,198,[99.0],[2],37646.0,18594.0,2.0,120.48,8.0,8.0,8.0,8.0
67,108.54,201,"[99, 102]","[1.0, 1.0]",38787.0,18594.0,2.0,122.762,10.0,10.0,10.0,10.0
68,110.16,204,[102.0],[2],38787.0,18594.0,2.0,122.762,10.0,10.0,10.0,10.0
69,111.78,207,[69.0],[3],26236.0,30391.0,3.0,149.49,11.0,11.0,10.0,11.0
70,113.4,210,[105.0],[2],39928.0,18594.0,2.0,125.044,10.0,10.0,10.0,10.0
71,115.02,213,"[69, 72]","[1.0, 2.0]",27377.0,30391.0,3.0,152.913,11.0,11.0,10.0,11.0
72,116.64,216,[108.0],[2],41069.0,18594.0,2.0,127.326,10.0,10.0,10.0,10.0
73,118.26,219,"[72, 75]","[2.0, 1.0]",28518.0,30391.0,3.0,156.336,11.0,11.0,10.0,11.0
74,119.88,222,[111.0],[2],42210.0,18594.0,2.0,129.608,10.0,10.0,10.0,10.0
75,121.5,225,[75.0],[3],28518.0,30391.0,3.0,156.336,11.0,11.0,10.0,11.0
76,123.12,228,[114.0],[2],43351.0,18594.0,2.0,131.89,10.0,10.0,10.0,10.0
77,124.74,231,"[75, 78]","[1.0, 2.0]",29659.0,30391.0,3.0,159.759,11.0,11.0,10.0,11.0
78,126.36,234,[117.0],[2],44492.0,18594.0,2.0,134.172,10.0,10.0,10.0,10.0
79,127.98,237,"[78, 81]","[2.0, 1.0]",30800.0,30391.0,3.0,163.182,11.0,11.0,10.0,11.0
80,129.6,240,[120.0],[2],45633.0,18594.0,2.0,136.454,10.0,10.0,10.0,10.0
81,131.22,243,[81.0],[3],30800.0,30391.0,3.0,163.182,11.0,11.0,10.0,11.0
82,132.84,246,[123.0],[2],46774.0,18594.0,2.0,138.736,10.0,10.0,10.0,10.0
83,134.46,249,"[81, 84]","[1.0, 2.0]",31941.0,30391.0,3.0,166.605,11.0,11.0,10.0,11.0
84,136.08,252,[84.0],[3],31941.0,30391.0,3.0,166.605,11.0,11.0,10.0,11.0
85,137.7,255,"[84, 87]","[2.0, 1.0]",33082.0,30391.0,3.0,170.028,11.0,11.0,10.0,11.0
86,139.32,258,[129.0],[2],49056.0,18594.0,2.0,143.3,10.0,10.0,10.0,10.0
87,140.94,261,[87.0],[3],33082.0,30391.0,3.0,170.028,11.0,11.0,10.0,11.0
88,142.56,264,[132.0],[2],50197.0,18594.0,2.0,145.582,10.0,10.0,10.0,10.0
89,144.18,267,"[87, 90]","[1.0, 2.0]",34223.0,30391.0,3.0,173.451,11.0,11.0,10.0,11.0
90,145.8,270,[90.0],[3],34223.0,30391.0,3.0,173.451,11.0,11.0,10.0,11.0
91,147.42,273,"[90, 93]","[2.0, 1.0]",35364.0,30391.0,3.0,176.874,11.0,11.0,10.0,11.0
92,149.04,276,[138.0],[2],52479.0,18594.0,2.0,150.146,10.0,10.0,10.0,10.0
93,150.66,279,[93.0],[3],35364.0,30391.0,3.0,176.874,11.0,11.0,10.0,11.0
94,152.28,282,[141.0],[2],53620.0,18594.0,2.0,152.428,10.0,10.0,10.0,10.0
95,153.9,285,"[93, 96]","[1.0, 2.0]",36505.0,30391.0,3.0,180.297,11.0,11.0,10.0,11.0
96,155.52,288,[96.0],[3],36505.0,30391.0,3.0,180.297,11.0,11.0,10.0,11.0
97,157.14,291,"[96, 99]","[2.0, 1.0]",37646.0,30391.0,3.0,183.72,11.0,11.0,10.0,11.0
98,158.76,294,[147.0],[2],55902.0,18594.0,2.0,156.992,10.0,10.0,10.0,10.0
99,160.38,297,[99.0],[3],37646.0,30391.0,3.0,183.72,11.0,11.0,10.0,11.0
100,162.0,300,[150.0],[2],57043.0,18594.0,2.0,159.274,10.0,10.0,10.0,10.0
101,163.62,303,"[99, 102]","[1.0, 2.0]",38787.0,30391.0,3.0,187.143,14.0,14.0,13.0,14.0
102,165.24,306,[102.0],[3],38787.0,30391.0,3.0,187.143,14.0,14.0,13.0,14.0
103,166.86,309,"[102, 105]","[2.0, 1.0]",39928.0,30391.0,3.0,190.566,14.0,14.0,13.0,14.0
104,168.48,312,[156.0],[2],59325.0,18594.0,2.0,163.838,12.0,12.0,12.0,12.0
105,170.1,315,[105.0],[3],39928.0,30391.0,3.0,190.566,14.0,14.0,13.0,14.0
106,171.72,318,[159.0],[2],60466.0,18594.0,2.0,166.12,12.0,12.0,12.0,12.0
107,173.34,321,"[105, 108]","[1.0, 2.0]",41069.0,30391.0,3.0,193.989,14.0,14.0,13.0,14.0
108,174.96,324,[108.0],[3],41069.0,30391.0,3.0,193.989,14.0,14.0,13.0,14.0
109,176.58,327,"[108, 111]","[2.0, 1.0]",42210.0,30391.0,3.0,197.412,14.0,14.0,13.0,14.0
110,178.2,330,[165.0],[2],62748.0,18594.0,2.0,170.684,12.0,12.0,12.0,12.0
111,179.82,333,[111.0],[3],42210.0,30391.0,3.0,197.412,14.0,14.0,13.0,14.0
112,181.44,336,[168.0],[2],63889.0,18594.0,2.0,172.966,12.0,12.0,12.0,12.0
113,183.06,339,"[111, 114]","[1.0, 2.0]",43351.0,30391.0,3.0,200.835,14.0,14.0,13.0,14.0
114,184.68,342,[114.0],[3],43351.0,30391.0,3.0,200.835,14.0,14.0,13.0,14.0
115,186.3,345,"[114, 117]","[2.0, 1.0]",44492.0,30391.0,3.0,204.258,14.0,14.0,13.0,14.0
116,187.92,348,[174.0],[2],66171.0,18594.0,2.0,177.53,12.0,12.0,12.0,12.0
117,189.54,351,[117.0],[3],44492.0,30391.0,3.0,204.258,14.0,14.0,13.0,14.0
118,191.16,354,[177.0],[2],67312.0,18594.0,2.0,179.812,12.0,12.0,12.0,12.0
119,192.78,357,"[117, 120]","[1.0, 2.0]",45633.0,30391.0,3.0,207.681,14.0,14.0,13.0,14.0
120,194.4,360,[120.0],[3],45633.0,30391.0,3.0,207.681,14.0,14.0,13.0,14.0
121,196.02,363,"[120, 123]","[2.0, 1.0]",46774.0,30391.0,3.0,211.104,14.0,14.0,13.0,14.0
122,197.64,366,"[120, 123]","[1.0, 2.0]",46774.0,30391.0,3.0,211.104,14.0,14.0,13.0,14.0
123,199.26,369,[123.0],[3],46774.0,30391.0,3.0,211.104,14.0,14.0,13.0,14.0
124,200.88,372,"[123, 126]","[2.0, 1.0]",47915.0,30391.0,3.0,214.527,14.0,14.0,13.0,14.0
125,202.5,375,"[123, 126]","[1.0, 2.0]",47915.0,30391.0,3.0,214.527,14.0,14.0,13.0,14.0
126,204.12,378,[126.0],[3],47915.0,30391.0,3.0,214.527,14.0,14.0,13.0,14.0
127,205.74,381,"[126, 129]","[2.0, 1.0]",49056.0,30391.0,3.0,217.95,14.0,14.0,13.0,14.0
128,207.36,384,"[126, 129]","[1.0, 2.0]",49056.0,30391.0,3.0,217.95,14.0,14.0,13.0,14.0
129,208.98,387,[129.0],[3],49056.0,30391.0,3.0,217.95,14.0,14.0,13.0,14.0
130,210.6,390,"[129, 132]","[2.0, 1.0]",50197.0,30391.0,3.0,221.373,14.0,14.0,13.0,14.0
131,212.22,393,"[129, 132]","[1.0, 2.0]",50197.0,30391.0,3.0,221.373,14.0,14.0,13.0,14.0
132,213.84,396,[132.0],[3],50197.0,30391.0,3.0,221.373,14.0,14.0,13.0,14.0
133,215.46,399,"[132, 135]","[2.0, 1.0]",51338.0,30391.0,3.0,224.796,14.0,14.0,13.0,14.0
134,217.08,402,"[132, 135]","[1.0, 2.0]",51338.0,30391.0,3.0,224.796,14.0,14.0,13.0,14.0
135,218.7,405,[135.0],[3],51338.0,30391.0,3.0,224.796,14.0,14.0,13.0,14.0
136,220.32,408,"[135, 138]","[2.0, 1.0]",52479.0,30391.0,3.0,228.219,14.0,14.0,13.0,14.0
137,221.94,411,"[135, 138]","[1.0, 2.0]",52479.0,30391.0,3.0,228.219,14.0,14.0,13.0,14.0
138,223.56,414,[138.0],[3],52479.0,30391.0,3.0,228.219,14.0,14.0,13.0,14.0
139,225.18,417,"[138, 141]","[2.0, 1.0]",53620.0,30391.0,3.0,231.642,14.0,14.0,13.0,14.0
140,226.8,420,"[138, 141]","[1.0, 2.0]",53620.0,30391.0,3.0,231.642,14.0,14.0,13.0,14.0
141,228.42,423,[141.0],[3],53620.0,30391.0,3.0,231.642,14.0,14.0,13.0,14.0
142,230.04,426,"[141, 144]","[2.0, 1.0]",54761.0,30391.0,3.0,235.065,14.0,14.0,13.0,14.0
143,231.66,429,"[141, 144]","[1.0, 2.0]",54761.0,30391.0,3.0,235.065,14.0,14.0,13.0,14.0
144,233.28,432,[144.0],[3],54761.0,30391.0,3.0,235.065,14.0,14.0,13.0,14.0
145,234.9,435,"[108, 111]","[3.0, 1.0]",42210.0,42188.0,4.0,265.216,18.0,18.0,16.0,18.0
146,236.52,438,"[108, 111]","[2.0, 2.0]",42210.0,42188.0,4.0,265.216,18.0,18.0,16.0,18.0
147,238.14,441,[147.0],[3],55902.0,30391.0,3.0,238.488,14.0,14.0,13.0,14.0
148,239.76,444,[111.0],[4],42210.0,42188.0,4.0,265.216,18.0,18.0,16.0,18.0
149,241.38,447,"[111, 114]","[3.0, 1.0]",43351.0,42188.0,4.0,269.78,18.0,18.0,16.0,18.0
